log, row, col
340196,794849,1054610
299558,32274,23333
310346,32516,20275
299584,32309,19631
441390,31598,19705
309905,31550,19633
296144,37962,23405
492227,31584,19913
386108,57257,19769
309435,31628,19544
315392,31837,19741
328933,32064,19624
308845,37481,28027
317957,32095,20204
309084,31747,19490
310110,32176,19717
359095,30869,20121
317706,30825,122876
122767,31548,18787
144869,31594,56801
108339,30746,18444
120862,29788,25149
104775,31833,18281
103234,29941,18288
110476,30471,18589
120920,33917,31761
110018,29618,18462
117197,29867,19494
138314,29381,19787
101349,30612,18614
96064,29598,18623
92681,30311,20399
99261,29850,17861
106451,81120,17870
95622,29511,17691
99540,29411,33868
94967,30053,95175
116428,29474,19048
81398,44346,23625
76802,29977,18741
80897,29521,18705
76468,29429,19432
74478,29620,18745
77175,29831,18472
84998,29490,19926
78243,29488,18595
83330,29390,18720
96128,29622,20065
78114,30705,18671
76273,29588,18637
74908,88828,19783
4054241,50992,36441
121921,32069,19187
72057,38274,19004
117060,32191,19001
85906,31903,18881
67339,31987,19719
72398,32184,20173
65881,31937,18841
92622,32123,19120
67943,32117,18955
75797,32499,19239
66715,32019,19021
66198,41873,26452
66306,32379,20274
66538,31979,19093
67840,32389,19122
64681,164551,20418
67715,25621,19782
66099,25169,18926
65043,25313,20468
64978,26628,20053
68611,29361,18770
65953,25783,19104
65384,25247,19811
64671,25418,19931
66308,31460,21743
65451,25255,18767
64930,31040,33311
67852,25556,19357
64734,26596,19089
67583,25252,19367
65300,25430,19740
77193,25171,20025
71788,25282,19081
64694,25221,19057
66663,25446,19222
67832,26445,19227
65544,25269,18790
65410,29316,21147
65363,25825,18819
69418,25083,19975
65148,90563,19089
68639,116167,19623
65425,17129,18731
64900,23567,20138
64618,16317,18963
66344,16191,18894
65591,16611,19071
65193,16237,18962
